,spatial-minus-zoneMean-mrt,Size,Design,Weather,Operation
410,-0.34,Small,Standard,TMY,PASSIVE
411,-0.35,Small,Standard,TMY,PASSIVE
412,-0.35,Small,Standard,TMY,PASSIVE
413,-0.27,Small,Standard,TMY,PASSIVE
414,0.3,Small,Standard,TMY,PASSIVE
415,0.47,Small,Standard,TMY,PASSIVE
416,0.86,Small,Standard,TMY,PASSIVE
417,2.03,Small,Standard,TMY,PASSIVE
418,2.58,Small,Standard,TMY,PASSIVE
419,1.99,Small,Standard,TMY,PASSIVE
420,1.63,Small,Standard,TMY,PASSIVE
421,1.23,Small,Standard,TMY,PASSIVE
422,0.72,Small,Standard,TMY,PASSIVE
423,0.48,Small,Standard,TMY,PASSIVE
424,0.21,Small,Standard,TMY,PASSIVE
425,0.15,Small,Standard,TMY,PASSIVE
426,-0.14,Small,Standard,TMY,PASSIVE
427,-0.26,Small,Standard,TMY,PASSIVE
428,-0.25,Small,Standard,TMY,PASSIVE
429,-0.23,Small,Standard,TMY,PASSIVE
430,-0.23,Small,Standard,TMY,PASSIVE
431,-0.26,Small,Standard,TMY,PASSIVE
432,-0.29,Small,Standard,TMY,PASSIVE
433,-0.29,Small,Standard,TMY,PASSIVE
434,-0.31,Small,Standard,TMY,PASSIVE
435,-0.31,Small,Standard,TMY,PASSIVE
436,-0.32,Small,Standard,TMY,PASSIVE
437,-0.25,Small,Standard,TMY,PASSIVE
438,0.22,Small,Standard,TMY,PASSIVE
439,0.7,Small,Standard,TMY,PASSIVE
440,1.35,Small,Standard,TMY,PASSIVE
441,2.04,Small,Standard,TMY,PASSIVE
442,1.56,Small,Standard,TMY,PASSIVE
443,2.54,Small,Standard,TMY,PASSIVE
444,2.58,Small,Standard,TMY,PASSIVE
445,2.44,Small,Standard,TMY,PASSIVE
446,1.79,Small,Standard,TMY,PASSIVE
447,1.12,Small,Standard,TMY,PASSIVE
448,0.69,Small,Standard,TMY,PASSIVE
449,0.32,Small,Standard,TMY,PASSIVE
450,-0.19,Small,Standard,TMY,PASSIVE
451,-0.29,Small,Standard,TMY,PASSIVE
452,-0.25,Small,Standard,TMY,PASSIVE
453,-0.23,Small,Standard,TMY,PASSIVE
454,-0.23,Small,Standard,TMY,PASSIVE
455,-0.25,Small,Standard,TMY,PASSIVE
456,-0.27,Small,Standard,TMY,PASSIVE
457,-0.28,Small,Standard,TMY,PASSIVE
458,-0.3,Small,Standard,TMY,PASSIVE
459,-0.32,Small,Standard,TMY,PASSIVE
460,-0.34,Small,Standard,TMY,PASSIVE
461,-0.27,Small,Standard,TMY,PASSIVE
462,0.28,Small,Standard,TMY,PASSIVE
463,0.65,Small,Standard,TMY,PASSIVE
464,1.5,Small,Standard,TMY,PASSIVE
